"station_european_code","component_caption","statistics_year","statistics_average_group","statistic_shortname","statistic_value","station_european_code","country_iso_code","country_name","station_city","longitude","latitude","altitude"
"AT32401","O3",2012,"day","P50",56.067,"AT32401","AT","Austria","WIENER NEUSTADT",16.255003,47.814167,265
"AT32101","O3",2012,"day","P50",73.782,"AT32101","AT","Austria","",16.293064,47.608334,738
"AT2WO15","O3",2012,"day","P50",30.876,"AT2WO15","AT","Austria","WOLFSBERG",14.844174,46.835278,440
"AT30403","O3",2012,"day","P50",58.184,"AT30403","AT","Austria","WOLKERSDORF",16.522228,48.392223,190
"AT72530","O3",2012,"day","P50",33.154,"AT72530","AT","Austria","WÖRGL",12.067509,47.489166,510
"AT55018","O3",2012,"day","P50",40.855,"AT55018","AT","Austria","",13.505003,47.154167,1205
"AT56071","O3",2012,"day","P50",50.723,"AT56071","AT","Austria","ZELL AM SEE",12.813903,47.339443,770
"AT30701","O3",2012,"day","P50",53.213,"AT30701","AT","Austria","",15.942786,48.528889,230
"AT0ZOE2","O3",2012,"day","P50",71.369,"AT0ZOE2","AT","Austria","",14.441395,47.838612,899
"BETB004","O3",2012,"day","P50",33.604,"BETB004","BE","Belgium","BRUSSELS",4.347322,50.851353,15
"BETB006","O3",2012,"day","P50",39.167,"BETB006","BE","Belgium","BRUSSELS",4.373122,50.839172,80
"BETB011","O3",2012,"day","P50",39.565,"BETB011","BE","Belgium","BRUXELLES/BRUSSEL",4.287072,50.858574,30
"BETN043","O3",2012,"day","P50",25.917,"BETN043","BE","Belgium","BRUSSELS",4.381697,50.884106,15
"BETR001","O3",2012,"day","P50",33.522,"BETR001","BE","Belgium","BRUSSELS",4.332555,50.850208,15
"BETR012","O3",2012,"day","P50",44.562,"BETR012","BE","Belgium","BRUSSELS",4.357275,50.797178,100
"BETWOL1","O3",2012,"day","P50",31.625,"BETWOL1","BE","Belgium","BRUSSELS",4.424436,50.857121,77
"BETN016","O3",2012,"day","P50",41.542,"BETN016","BE","Belgium","DESSEL",5.162686,51.234192,30
"BETN027","O3",2012,"day","P50",46.042,"BETN027","BE","Belgium","BREE",5.605355,51.134262,48
"BETN035","O3",2012,"day","P50",45.333,"BETN035","BE","Belgium","AARSCHOT",4.836336,50.978088,55
"BETN040","O3",2012,"day","P50",45.5,"BETN040","BE","Belgium","SINT PIETERS LEEUW",4.223933,50.768684,20
"BETN041","O3",2012,"day","P50",63.417,"BETN041","BE","Belgium","SINT PIETERS LEEUW",4.222928,50.768379,200
"BETN045","O3",2012,"day","P50",43.604,"BETN045","BE","Belgium","HASSELT",5.367084,50.940262,41
"BETN046","O3",2012,"day","P50",42.333,"BETN046","BE","Belgium","LANAKEN",5.617572,50.882847,70
"BETN054","O3",2012,"day","P50",43.5,"BETN054","BE","Belgium","LANDEN",5.101875,50.712257,135
"BETR801","O3",2012,"day","P50",30.292,"BETR801","BE","Belgium","ANTWERPEN",4.430547,51.210197,6
"BETR811","O3",2012,"day","P50",36.75,"BETR811","BE","Belgium","ANTWERPEN",4.490086,51.252636,8
"BETR831","O3",2012,"day","P50",34.083,"BETR831","BE","Belgium","ANTWERPEN",4.338439,51.349325,3
"BETR841","O3",2012,"day","P50",34.333,"BETR841","BE","Belgium","MECHELEN",4.46805,51.003067,8
"BETN060","O3",2012,"day","P50",35.891,"BETN060","BE","Belgium","TOURNAI",3.457631,50.616711,28
